Año encuesta;Localidad;Sexo;Aseguramiento;Estrato;NIVEL_CONSUMO_TABACO_ACTUAL;Casos Fuma;Casos de tabaquismo pasivo;Casos de tabaquismo pesado;Registros
2019;Bosa;Mujer;Contributivo (EPS);3;LEVE;1;1;1;1
2019;Bosa;Mujer;Régimen excepcional;2;MODERADO;1;1;1;1
2019;Bosa;Mujer;Subsidiado (EPSS);2;LEVE;4;2;0;4
2019;Bosa;Mujer;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2019;Candelaria;Hombre;Contributivo (EPS);2;LEVE;2;0;0;2
2019;Candelaria;Hombre;Subsidiado (EPSS);2;LEVE;5;1;2;5
2019;Candelaria;Hombre;Subsidiado (EPSS);2;MODERADO;4;1;4;4
2019;Candelaria;Mujer;Contributivo (EPS);2;LEVE;4;3;2;4
2019;Candelaria;Mujer;Contributivo (EPS);2;MODERADO;3;2;2;3
2019;Candelaria;Mujer;Subsidiado (EPSS);2;LEVE;1;1;1;1
2019;Chapinero;Hombre;Ninguno;2;LEVE;1;0;0;1
2019;Chapinero;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Chapinero;Mujer;Contributivo (EPS);1;MODERADO;1;0;1;1
2019;Chapinero;Mujer;Subsidiado (EPSS);1;LEVE;1;1;1;1
2019;Ciudad Bolívar;Hombre;Contributivo (EPS);1;LEVE;3;1;2;3
2019;Ciudad Bolívar;Hombre;Ninguno;1;MODERADO;1;1;1;1
2019;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;LEVE;2;0;1;2
2019;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;MODERADO;2;2;2;2
2019;Ciudad Bolívar;Mujer;Contributivo (EPS);1;MODERADO;1;0;0;1
2019;Ciudad Bolívar;Mujer;Contributivo (EPS);2;LEVE;1;1;1;1
2019;Ciudad Bolívar;Mujer;Ninguno;1;SEVERO;1;0;1;1
2019;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;LEVE;3;1;0;3
2019;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;MODERADO;1;1;1;1
2019;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;SEVERO;1;1;1;1
2019;Ciudad Bolívar;Mujer;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Engativá;Hombre;Contributivo (EPS);3;LEVE;3;0;1;3
2019;Engativá;Hombre;Régimen excepcional;2;MODERADO;1;0;1;1
2019;Engativá;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Engativá;Hombre;Subsidiado (EPSS);3;MODERADO;3;1;3;3
2019;Engativá;Mujer;Contributivo (EPS);3;LEVE;5;1;0;5
2019;Engativá;Mujer;Contributivo (EPS);3;MODERADO;2;0;2;2
2019;Engativá;Mujer;Contributivo (EPS);3;SEVERO;1;0;1;1
2019;Engativá;Mujer;Régimen excepcional;3;LEVE;1;1;0;1
2019;Engativá;Mujer;Subsidiado (EPSS);3;LEVE;2;0;1;2
2019;Engativá;Mujer;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2019;Fontibón;Hombre;Subsidiado (EPSS);3;LEVE;2;0;0;2
2019;Fontibón;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2019;Fontibón;Mujer;Contributivo (EPS);3;MODERADO;1;1;1;1
2019;Kennedy;Hombre;Contributivo (EPS);2;LEVE;4;0;1;4
2019;Kennedy;Hombre;Contributivo (EPS);3;LEVE;3;1;0;3
2019;Kennedy;Hombre;Contributivo (EPS);3;SEVERO;1;0;1;1
2019;Kennedy;Hombre;Subsidiado (EPSS);2;LEVE;1;1;0;1
2019;Kennedy;Hombre;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2019;Kennedy;Hombre;Subsidiado (EPSS);3;LEVE;1;0;1;1
2019;Kennedy;Mujer;Contributivo (EPS);2;LEVE;3;0;0;3
2019;Kennedy;Mujer;Contributivo (EPS);2;SEVERO;1;0;1;1
2019;Kennedy;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2019;Kennedy;Mujer;Contributivo (EPS);3;SEVERO;1;0;1;1
2019;Kennedy;Mujer;Ninguno;2;LEVE;1;0;0;1
2019;Kennedy;Mujer;Subsidiado (EPSS);2;LEVE;2;2;1;2
2019;Kennedy;Mujer;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2019;Mártires;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2019;Mártires;Hombre;Contributivo (EPS);3;MODERADO;2;0;2;2
2019;Mártires;Hombre;Subsidiado (EPSS);3;LEVE;2;0;0;2
2019;Mártires;Hombre;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2019;Mártires;Hombre;Subsidiado (EPSS);3;SEVERO;2;0;2;2
2019;Mártires;Mujer;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2019;Mártires;Mujer;Subsidiado (EPSS);3;LEVE;2;0;0;2
2019;Mártires;Mujer;Subsidiado (EPSS);3;MODERADO;2;0;2;2
2019;Puente Aranda;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2019;Puente Aranda;Hombre;Contributivo (EPS);3;LEVE;1;0;1;1
2019;Puente Aranda;Hombre;Subsidiado (EPSS);3;LEVE;1;0;1;1
2019;Puente Aranda;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2019;Rafael Uribe;Hombre;Contributivo (EPS);2;LEVE;1;0;1;1
2019;Rafael Uribe;Hombre;Contributivo (EPS);2;SEVERO;1;0;1;1
2019;Rafael Uribe;Hombre;Ninguno;2;MODERADO;1;1;1;1
2019;Rafael Uribe;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Rafael Uribe;Hombre;Subsidiado (EPSS);3;MODERADO;1;1;1;1
2019;Rafael Uribe;Mujer;Subsidiado (EPSS);2;MODERADO;2;1;2;2
2019;Rafael Uribe;Mujer;Subsidiado (EPSS);3;LEVE;1;0;1;1
2019;San Cristóbal;Hombre;Contributivo (EPS);2;LEVE;2;0;0;2
2019;San Cristóbal;Hombre;Contributivo (EPS);2;SEVERO;1;0;1;1
2019;San Cristóbal;Hombre;Contributivo (EPS);3;LEVE;1;0;1;1
2019;San Cristóbal;Hombre;Ninguno;2;MODERADO;2;1;2;2
2019;San Cristóbal;Hombre;Subsidiado (EPSS);2;LEVE;3;2;2;3
2019;San Cristóbal;Hombre;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2019;San Cristóbal;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2019;San Cristóbal;Mujer;Subsidiado (EPSS);2;LEVE;1;1;0;1
2019;San Cristóbal;Mujer;Subsidiado (EPSS);2;MODERADO;1;1;1;1
2019;Santa Fe;Hombre;Subsidiado (EPSS);1;MODERADO;1;1;1;1
2019;Santa Fe;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Santa Fe;Hombre;Subsidiado (EPSS);2;MODERADO;2;1;2;2
2019;Santa Fe;Hombre;Subsidiado (EPSS);2;SEVERO;1;0;1;1
2019;Santa Fe;Mujer;Contributivo (EPS);2;MODERADO;1;1;1;1
2019;Santa Fe;Mujer;Subsidiado (EPSS);2;LEVE;2;2;1;2
2019;Santa Fe;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2019;Santa Fe;Mujer;Subsidiado (EPSS);3;SEVERO;1;0;1;1
2019;Suba;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2019;Suba;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2019;Suba;Hombre;Subsidiado (EPSS);3;LEVE;1;1;0;1
2019;Suba;Mujer;Contributivo (EPS);2;LEVE;4;1;1;4
2019;Suba;Mujer;Contributivo (EPS);2;MODERADO;1;1;1;1
2019;Suba;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2019;Suba;Mujer;Contributivo (EPS);3;SEVERO;1;0;1;1
2019;Teusaquillo;Hombre;Contributivo (EPS);4;LEVE;1;0;0;1
2019;Teusaquillo;Mujer;Contributivo (EPS);4;MODERADO;1;1;1;1
2019;Teusaquillo;Mujer;Contributivo (EPS);5;MODERADO;1;0;1;1
2019;Tunjuelito;Hombre;Subsidiado (EPSS);2;LEVE;1;1;1;1
2019;Tunjuelito;Hombre;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2019;Tunjuelito;Mujer;Subsidiado (EPSS);2;LEVE;2;2;0;2
2019;Tunjuelito;Mujer;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2019;Usaquén;Hombre;Contributivo (EPS);4;LEVE;2;0;0;2
2019;Usaquén;Hombre;Subsidiado (EPSS);3;LEVE;1;0;0;1
2019;Usaquén;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2019;Usaquén;Mujer;Contributivo (EPS);4;LEVE;1;0;0;1
2019;Usaquén;Mujer;Contributivo (EPS);4;MODERADO;1;0;1;1
2019;Usaquén;Mujer;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Usme;Hombre;Contributivo (EPS);1;LEVE;1;1;0;1
2019;Usme;Hombre;Subsidiado (EPSS);1;LEVE;1;0;0;1
2019;Usme;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2019;Usme;Mujer;Contributivo (EPS);1;MODERADO;2;2;1;2
2019;Usme;Mujer;Subsidiado (EPSS);1;LEVE;1;1;0;1
2019;Usme;Mujer;Subsidiado (EPSS);1;MODERADO;1;0;1;1
2019;Usme;Mujer;Subsidiado (EPSS);1;SEVERO;1;0;1;1
2019;Usme;Mujer;Subsidiado (EPSS);2;LEVE;1;0;0;1
2020;Antonio Nariño;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2020;Antonio Nariño;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Antonio Nariño;Hombre;Contributivo (EPS);3;MODERADO;1;1;1;1
2020;Antonio Nariño;Hombre;Subsidiado (EPSS);2;LEVE;1;1;1;1
2020;Antonio Nariño;Hombre;Subsidiado (EPSS);3;LEVE;2;1;0;2
2020;Antonio Nariño;Hombre;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2020;Antonio Nariño;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Antonio Nariño;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2020;Antonio Nariño;Mujer;Régimen excepcional;3;MODERADO;1;0;1;1
2020;Barrios Unidos;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Barrios Unidos;Hombre;Ninguno;3;LEVE;1;0;1;1
2020;Barrios Unidos;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Bosa;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;Bosa;Hombre;Subsidiado (EPSS);2;LEVE;1;0;1;1
2020;Bosa;Hombre;Subsidiado (EPSS);2;MODERADO;1;1;1;1
2020;Bosa;Mujer;Contributivo (EPS);2;LEVE;1;0;0;1
2020;Bosa;Mujer;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;Bosa;Mujer;Subsidiado (EPSS);2;LEVE;2;1;0;2
2020;Candelaria;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;Candelaria;Hombre;Ninguno;3;LEVE;1;1;0;1
2020;Candelaria;Hombre;Subsidiado (EPSS);3;LEVE;1;1;0;1
2020;Candelaria;Mujer;Contributivo (EPS);2;LEVE;2;1;0;2
2020;Candelaria;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Candelaria;Mujer;Subsidiado (EPSS);1;MODERADO;1;0;1;1
2020;Candelaria;Mujer;Subsidiado (EPSS);2;MODERADO;1;1;1;1
2020;Chapinero;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;Chapinero;Hombre;Contributivo (EPS);4;LEVE;1;1;1;1
2020;Ciudad Bolívar;Hombre;Contributivo (EPS);1;LEVE;1;1;1;1
2020;Ciudad Bolívar;Hombre;Contributivo (EPS);1;MODERADO;1;0;1;1
2020;Ciudad Bolívar;Hombre;Contributivo (EPS);1;SEVERO;1;0;1;1
2020;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;LEVE;2;0;1;2
2020;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;MODERADO;2;0;2;2
2020;Ciudad Bolívar;Hombre;Subsidiado (EPSS);2;MODERADO;1;1;1;1
2020;Ciudad Bolívar;Mujer;Contributivo (EPS);2;LEVE;2;0;0;2
2020;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;LEVE;1;0;0;1
2020;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;MODERADO;2;1;2;2
2020;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;SEVERO;2;1;2;2
2020;Ciudad Bolívar;Mujer;Subsidiado (EPSS);2;LEVE;2;0;0;2
2020;Engativá;Hombre;Contributivo (EPS);2;LEVE;1;1;1;1
2020;Engativá;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Engativá;Hombre;Contributivo (EPS);3;SEVERO;1;0;1;1
2020;Engativá;Hombre;Subsidiado (EPSS);3;MODERADO;2;0;2;2
2020;Engativá;Mujer;Contributivo (EPS);2;MODERADO;1;1;1;1
2020;Engativá;Mujer;Contributivo (EPS);3;LEVE;2;1;0;2
2020;Engativá;Mujer;Contributivo (EPS);3;MODERADO;2;0;2;2
2020;Engativá;Mujer;Ninguno;3;MODERADO;1;1;1;1
2020;Engativá;Mujer;Subsidiado (EPSS);3;LEVE;1;1;1;1
2020;Fontibón;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2020;Kennedy;Hombre;Contributivo (EPS);2;LEVE;4;0;1;4
2020;Kennedy;Hombre;Contributivo (EPS);2;MODERADO;1;1;1;1
2020;Kennedy;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Kennedy;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2020;Kennedy;Hombre;Subsidiado (EPSS);3;MODERADO;1;1;1;1
2020;Kennedy;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Kennedy;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2020;Kennedy;Mujer;Régimen excepcional;2;LEVE;1;0;0;1
2020;Kennedy;Mujer;Subsidiado (EPSS);2;SEVERO;1;0;1;1
2020;Kennedy;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2020;Mártires;Hombre;Contributivo (EPS);3;LEVE;1;0;1;1
2020;Mártires;Hombre;Ninguno;3;MODERADO;1;1;1;1
2020;Mártires;Hombre;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2020;Mártires;Hombre;Subsidiado (EPSS);3;LEVE;2;1;0;2
2020;Mártires;Hombre;Subsidiado (EPSS);3;MODERADO;2;1;2;2
2020;Mártires;Mujer;Contributivo (EPS);3;MODERADO;1;1;1;1
2020;Mártires;Mujer;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2020;Mártires;Mujer;Subsidiado (EPSS);3;LEVE;2;0;0;2
2020;Puente Aranda;Hombre;Contributivo (EPS);3;LEVE;1;1;0;1
2020;Puente Aranda;Hombre;Subsidiado (EPSS);3;LEVE;1;0;0;1
2020;Puente Aranda;Hombre;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2020;Puente Aranda;Mujer;Contributivo (EPS);3;MODERADO;1;0;0;1
2020;Rafael Uribe;Hombre;Contributivo (EPS);3;LEVE;3;0;0;3
2020;Rafael Uribe;Hombre;Subsidiado (EPSS);2;MODERADO;1;1;1;1
2020;Rafael Uribe;Hombre;Subsidiado (EPSS);3;SEVERO;1;0;1;1
2020;Rafael Uribe;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Rafael Uribe;Mujer;Contributivo (EPS);3;MODERADO;1;1;1;1
2020;Rafael Uribe;Mujer;Subsidiado (EPSS);2;LEVE;1;0;0;1
2020;San Cristóbal;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;San Cristóbal;Hombre;Ninguno;2;LEVE;1;0;0;1
2020;San Cristóbal;Hombre;Subsidiado (EPSS);2;LEVE;3;1;1;3
2020;San Cristóbal;Mujer;Subsidiado (EPSS);2;LEVE;2;1;0;2
2020;San Cristóbal;Mujer;Subsidiado (EPSS);2;MODERADO;1;0;1;1
2020;Santa Fe;Hombre;Contributivo (EPS);2;LEVE;1;0;1;1
2020;Santa Fe;Hombre;Contributivo (EPS);2;MODERADO;1;1;1;1
2020;Santa Fe;Hombre;Subsidiado (EPSS);3;SEVERO;1;0;1;1
2020;Santa Fe;Mujer;Contributivo (EPS);2;LEVE;1;0;0;1
2020;Santa Fe;Mujer;Subsidiado (EPSS);2;LEVE;4;2;0;4
2020;Suba;Hombre;Contributivo (EPS);2;LEVE;3;0;2;3
2020;Suba;Hombre;Contributivo (EPS);2;MODERADO;5;0;5;5
2020;Suba;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Suba;Hombre;Régimen excepcional;3;LEVE;1;0;1;1
2020;Suba;Hombre;Subsidiado (EPSS);2;MODERADO;3;1;3;3
2020;Suba;Mujer;Contributivo (EPS);2;LEVE;1;1;1;1
2020;Suba;Mujer;Contributivo (EPS);2;MODERADO;1;0;0;1
2020;Suba;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2020;Suba;Mujer;Contributivo (EPS);3;SEVERO;1;0;1;1
2020;Suba;Mujer;Subsidiado (EPSS);2;LEVE;1;0;0;1
2020;Suba;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2020;Teusaquillo;Hombre;Contributivo (EPS);3;MODERADO;1;0;1;1
2020;Teusaquillo;Hombre;Subsidiado (EPSS);4;LEVE;1;1;0;1
2020;Teusaquillo;Mujer;Contributivo (EPS);4;LEVE;1;0;1;1
2020;Teusaquillo;Mujer;Subsidiado (EPSS);3;MODERADO;1;1;1;1
2020;Tunjuelito;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2020;Tunjuelito;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2020;Tunjuelito;Hombre;Subsidiado (EPSS);2;LEVE;5;2;0;5
2020;Tunjuelito;Mujer;Subsidiado (EPSS);2;LEVE;2;0;0;2
2020;Tunjuelito;Mujer;Subsidiado (EPSS);2;SEVERO;1;1;1;1
2020;Usaquén;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;Usaquén;Mujer;Contributivo (EPS);2;MODERADO;1;0;1;1
2020;Usaquén;Mujer;Subsidiado (EPSS);3;LEVE;1;0;0;1
2020;Usme;Hombre;Subsidiado (EPSS);1;SEVERO;1;0;1;1
2020;Usme;Hombre;Subsidiado (EPSS);2;MODERADO;1;1;1;1
2020;Usme;Mujer;Subsidiado (EPSS);1;MODERADO;1;1;0;1
2020;Usme;Mujer;Subsidiado (EPSS);2;MODERADO;2;1;2;2
2021;Antonio Nariño;Hombre;Contributivo (EPS);3;LEVE;2;0;0;2
2021;Antonio Nariño;Hombre;Contributivo (EPS);3;MODERADO;1;0;1;1
2021;Antonio Nariño;Hombre;Subsidiado (EPSS);3;MODERADO;1;0;1;1
2021;Antonio Nariño;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2021;Barrios Unidos;Hombre;Contributivo (EPS);3;LEVE;2;0;0;2
2021;Barrios Unidos;Hombre;Contributivo (EPS);3;MODERADO;3;0;1;3
2021;Barrios Unidos;Hombre;Subsidiado (EPSS);3;LEVE;1;0;0;1
2021;Barrios Unidos;Hombre;Subsidiado (EPSS);3;MODERADO;3;1;2;3
2021;Barrios Unidos;Mujer;Contributivo (EPS);3;LEVE;1;0;0;1
2021;Barrios Unidos;Mujer;Contributivo (EPS);3;SEVERO;1;0;1;1
2021;Barrios Unidos;Mujer;Contributivo (EPS);4;LEVE;1;1;0;1
2021;Bosa;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2021;Bosa;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2021;Bosa;Mujer;Contributivo (EPS);2;LEVE;2;1;1;2
2021;Bosa;Mujer;Subsidiado (EPSS);2;LEVE;1;0;0;1
2021;Bosa;Mujer;Subsidiado (EPSS);2;MODERADO;1;0;0;1
2021;Candelaria;Hombre;Contributivo (EPS);3;MODERADO;1;1;1;1
2021;Candelaria;Hombre;Subsidiado (EPSS);1;LEVE;1;1;1;1
2021;Candelaria;Hombre;Subsidiado (EPSS);2;LEVE;2;2;1;2
2021;Candelaria;Hombre;Subsidiado (EPSS);2;MODERADO;3;1;3;3
2021;Candelaria;Mujer;Contributivo (EPS);2;MODERADO;1;1;1;1
2021;Candelaria;Mujer;Contributivo (EPS);3;MODERADO;1;1;1;1
2021;Candelaria;Mujer;Subsidiado (EPSS);1;MODERADO;1;1;1;1
2021;Candelaria;Mujer;Subsidiado (EPSS);2;LEVE;3;3;2;3
2021;Chapinero;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2021;Chapinero;Hombre;Contributivo (EPS);2;SEVERO;1;1;1;1
2021;Chapinero;Hombre;Contributivo (EPS);3;LEVE;1;0;0;1
2021;Chapinero;Hombre;Contributivo (EPS);3;MODERADO;1;0;1;1
2021;Chapinero;Hombre;Contributivo (EPS);4;LEVE;2;0;0;2
2021;Chapinero;Hombre;Contributivo (EPS);4;SEVERO;1;0;1;1
2021;Chapinero;Mujer;Contributivo (EPS);1;LEVE;1;1;0;1
2021;Chapinero;Mujer;Contributivo (EPS);4;MODERADO;1;1;1;1
2021;Chapinero;Mujer;Subsidiado (EPSS);1;LEVE;1;0;0;1
2021;Chapinero;Mujer;Subsidiado (EPSS);1;MODERADO;1;1;1;1
2021;Ciudad Bolívar;Hombre;Contributivo (EPS);1;MODERADO;3;1;3;3
2021;Ciudad Bolívar;Hombre;Contributivo (EPS);2;LEVE;3;2;0;3
2021;Ciudad Bolívar;Hombre;Contributivo (EPS);2;MODERADO;1;1;1;1
2021;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;LEVE;2;0;1;2
2021;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;MODERADO;3;1;3;3
2021;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;SEVERO;3;2;3;3
2021;Ciudad Bolívar;Hombre;Subsidiado (EPSS);2;LEVE;1;1;1;1
2021;Ciudad Bolívar;Hombre;Subsidiado (EPSS);2;MODERADO;2;0;2;2
2021;Ciudad Bolívar;Mujer;Contributivo (EPS);1;LEVE;2;0;0;2
2021;Ciudad Bolívar;Mujer;Contributivo (EPS);2;LEVE;2;1;1;2
2021;Ciudad Bolívar;Mujer;Contributivo (EPS);2;SEVERO;1;0;1;1
2021;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;LEVE;5;1;0;5
2021;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;MODERADO;1;1;1;1
2021;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;SEVERO;1;1;1;1
2021;Ciudad Bolívar;Mujer;Subsidiado (EPSS);2;LEVE;3;1;0;3
2021;Ciudad Bolívar;Mujer;Subsidiado (EPSS);2;MODERADO;2;1;2;2
2021;Engativá;Hombre;Contributivo (EPS);2;LEVE;1;0;0;1
2021;Engativá;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2021;Engativá;Hombre;Contributivo (EPS);3;LEVE;8;2;0;8
2021;Engativá;Hombre;Contributivo (EPS);3;MODERADO;3;0;3;3
2021;Engativá;Hombre;Contributivo (EPS);3;SEVERO;1;0;1;1
2021;Engativá;Hombre;Ninguno;3;LEVE;1;1;0;1
2021;Engativá;Hombre;Subsidiado (EPSS);2;LEVE;1;0;1;1
2021;Engativá;Hombre;Subsidiado (EPSS);3;LEVE;2;0;0;2
2021;Engativá;Hombre;Subsidiado (EPSS);3;MODERADO;2;0;2;2
2021;Engativá;Mujer;Contributivo (EPS);2;LEVE;3;0;2;3
2021;Engativá;Mujer;Contributivo (EPS);3;LEVE;5;1;1;5
2021;Engativá;Mujer;Subsidiado (EPSS);3;LEVE;2;2;0;2
2021;Fontibón;Hombre;Contributivo (EPS);3;LEVE;1;1;0;1
2021;Fontibón;Hombre;Contributivo (EPS);3;SEVERO;1;0;1;1
2021;Fontibón;Hombre;Contributivo (EPS);4;SEVERO;1;0;1;1
2021;Fontibón;Hombre;Ninguno;3;LEVE;1;1;0;1
2021;Fontibón;Mujer;Contributivo (EPS);2;MODERADO;1;0;1;1
2021;Fontibón;Mujer;Contributivo (EPS);3;LEVE;3;0;2;3
2021;Fontibón;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2021;Kennedy;Hombre;Contributivo (EPS);2;MODERADO;1;1;1;1
2021;Kennedy;Hombre;Contributivo (EPS);3;LEVE;2;0;2;2
2021;Kennedy;Hombre;Contributivo (EPS);3;MODERADO;2;1;2;2
2021;Kennedy;Hombre;Contributivo (EPS);3;SEVERO;1;0;1;1
2021;Kennedy;Hombre;Subsidiado (EPSS);3;LEVE;1;0;0;1
2021;Kennedy;Mujer;Contributivo (EPS);2;LEVE;2;1;0;2
2021;Kennedy;Mujer;Contributivo (EPS);3;LEVE;3;1;1;3
2021;Kennedy;Mujer;Contributivo (EPS);3;MODERADO;1;0;1;1
2021;Kennedy;Mujer;Ninguno;2;LEVE;1;0;0;1
2021;Kennedy;Mujer;Subsidiado (EPSS);2;LEVE;3;0;2;3
2021;Mártires;Hombre;Contributivo (EPS);2;MODERADO;1;0;1;1
2021;Mártires;Hombre;Contributivo (EPS);3;MODERADO;1;0;1;1
2021;Mártires;Hombre;Subsidiado (EPSS);2;LEVE;1;0;0;1
2021;Mártires;Hombre;Subsidiado (EPSS);3;LEVE;1;0;0;1
2021;Mártires;Hombre;Subsidiado (EPSS);3;SEVERO;1;0;1;1
2021;Mártires;Mujer;Contributivo (EPS);3;LEVE;1;1;0;1
2021;Mártires;Mujer;Contributivo (EPS);3;MODERADO;1;1;1;1
