Año;Sexo;Código Localidad;Localidad;Grupo de edad;Régimen Aseguramiento;Código CIE10;Descripción causa básica de muerte;Grupo condición crónica;Muertes total
2005;Femenino;21;Distrito;65 a 69 años;Contributivo;J47X;BRONQUIECTASIA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Ignorado;J40X;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRÓNICA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Ignorado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Otro;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Particular;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Sin dato;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;9
2005;Femenino;21;Distrito;65 a 69 años;Vinculado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Femenino;21;Distrito;65 a 69 años;Vinculado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;2
2005;Femenino;21;Distrito;65 a 69 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;35 a 39 años;Contributivo;J40X;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRÓNICA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;40 a 44 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;40 a 44 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;45 a 49 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;45 a 49 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;45 a 49 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Contributivo;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Contributivo;J47X;BRONQUIECTASIA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Sin dato;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;50 a 54 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;50 a 54 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2005;Masculino;21;Distrito;55 a 59 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;55 a 59 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;55 a 59 años;Contributivo;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;55 a 59 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;9
2005;Masculino;21;Distrito;55 a 59 años;Subsidiado;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;55 a 59 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;55 a 59 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;6
2005;Masculino;21;Distrito;55 a 59 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;60 a 64 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;10
2005;Masculino;21;Distrito;60 a 64 años;Ignorado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;60 a 64 años;Sin dato;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;60 a 64 años;Subsidiado;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;60 a 64 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;60 a 64 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;8
2005;Masculino;21;Distrito;60 a 64 años;Vinculado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;60 a 64 años;Vinculado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;60 a 64 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;65 a 69 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;65 a 69 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;4
2005;Masculino;21;Distrito;65 a 69 años;Contributivo;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2005;Masculino;21;Distrito;65 a 69 años;Contributivo;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;65 a 69 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;24
2005;Masculino;21;Distrito;65 a 69 años;Ignorado;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;65 a 69 años;Particular;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;65 a 69 años;Subsidiado;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;65 a 69 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2005;Masculino;21;Distrito;65 a 69 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;65 a 69 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;18
2005;Masculino;21;Distrito;65 a 69 años;Vinculado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2005;Masculino;21;Distrito;65 a 69 años;Vinculado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2005;Masculino;21;Distrito;65 a 69 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;5
2006;Femenino;21;Distrito;30 a 34 años;Subsidiado;J430;SÍNDROME DE MACLEOD;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;40 a 44 años;Subsidiado;J42X;BRONQUITIS CRÓNICA NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;45 a 49 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;45 a 49 años;Subsidiado;J40X;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRÓNICA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;50 a 54 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;50 a 54 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;50 a 54 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;50 a 54 años;Contributivo;J47X;BRONQUIECTASIA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;50 a 54 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;50 a 54 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;55 a 59 años;Contributivo;J40X;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRÓNICA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;55 a 59 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2006;Femenino;21;Distrito;55 a 59 años;Otro;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;55 a 59 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2006;Femenino;21;Distrito;60 a 64 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;7
2006;Femenino;21;Distrito;60 a 64 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;60 a 64 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;6
2006;Femenino;21;Distrito;60 a 64 años;Vinculado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;60 a 64 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;65 a 69 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;65 a 69 años;Contributivo;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2006;Femenino;21;Distrito;65 a 69 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;16
2006;Femenino;21;Distrito;65 a 69 años;Otro;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;65 a 69 años;Otro;J47X;BRONQUIECTASIA;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;65 a 69 años;Sin dato;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2006;Femenino;21;Distrito;65 a 69 años;Subsidiado;J42X;BRONQUITIS CRÓNICA NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2006;Femenino;21;Distrito;65 a 69 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2006;Femenino;21;Distrito;65 a 69 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;8
2006;Femenino;21;Distrito;65 a 69 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2006;Masculino;21;Distrito;30 a 34 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;40 a 44 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;40 a 44 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;45 a 49 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;45 a 49 años;Subsidiado;J40X;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRÓNICA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;45 a 49 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;45 a 49 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;45 a 49 años;Vinculado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;45 a 49 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;50 a 54 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2006;Masculino;21;Distrito;50 a 54 años;Ignorado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;50 a 54 años;Sin dato;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;50 a 54 años;Subsidiado;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;50 a 54 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;3
2006;Masculino;21;Distrito;50 a 54 años;Vinculado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;50 a 54 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2006;Masculino;21;Distrito;55 a 59 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;55 a 59 años;Contributivo;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;8
2006;Masculino;21;Distrito;55 a 59 años;Sin dato;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;55 a 59 años;Subsidiado;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;55 a 59 años;Subsidiado;J448;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRÓNICAS ESPECIFICADAS;Enfermedades crónicas respiratorias bajas;2
2006;Masculino;21;Distrito;55 a 59 años;Subsidiado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;4
2006;Masculino;21;Distrito;55 a 59 años;Vinculado;J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
2006;Masculino;21;Distrito;60 a 64 años;Contributivo;J439;ENFISEMA, NO ESPECIFICADO;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;60 a 64 años;Contributivo;J440;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS INFERIORES;Enfermedades crónicas respiratorias bajas;1
2006;Masculino;21;Distrito;60 a 64 años;Contributivo;J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA;Enfermedades crónicas respiratorias bajas;2
